                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.48518,                0.82221,                0.38425,                0.88716,                0.74577,                0.51852,                0.58638,                0.33449,                0.76338,                0.53439,                0.60745,                0.34463,                 1.6401,                 2.6139,                 1.5854,                 1.6916,                 0.0955,                 0.0005,                 0.0005
                      1,                0.49626,                0.82886,                0.33876,                0.89324,                0.69907,                0.51323,                0.58725,                0.33144,                0.70598,                0.52381,                0.59927,                0.33655,                 1.6517,                 2.5999,                  1.548,                  1.678,               0.090089,              0.0010891,              0.0010891
                      2,                 0.4841,                 0.7801,                0.33875,                0.87629,                0.73388,                0.48148,                0.56336,                0.32734,                0.73388,                0.48148,                0.57055,                0.32284,                 1.6525,                 2.6915,                 1.5334,                 1.7088,               0.084666,              0.0016663,              0.0016663
                      3,                0.48287,                0.82414,                0.33157,                0.89804,                 0.8012,                0.48677,                0.58963,                0.34067,                 0.8012,                0.48677,                0.58572,                 0.3421,                 1.6743,                 2.6595,                 1.5247,                 1.7001,               0.079232,              0.0022317,              0.0022317
                      4,                0.49939,                 0.8231,                0.35069,                0.88682,                0.76002,                0.46919,                0.57054,                0.34327,                0.72577,                0.48677,                0.58124,                0.34434,                 1.6381,                 2.8221,                 1.7588,                 1.6643,               0.073785,              0.0027852,              0.0027852
                      5,                0.49983,                0.77374,                0.31575,                0.88723,                0.75014,                0.49206,                0.59558,                0.35038,                0.77589,                0.51291,                0.61451,                0.34813,                 1.6902,                 2.7107,                 1.6335,                 1.6916,               0.068327,              0.0033267,              0.0033267
                      6,                0.54011,                0.89106,                0.36945,                0.91586,                0.74711,                0.48148,                0.57028,                0.31892,                0.73465,                0.51852,                0.59611,                0.32173,                  1.686,                 2.7206,                 1.6274,                 1.6748,               0.062856,              0.0038565,              0.0038565
                      7,                0.51965,                0.81441,                0.37013,                 0.8903,                0.68102,                0.49206,                0.51277,                0.27052,                0.68532,                0.48677,                0.51132,                0.26742,                 1.8055,                 2.8022,                 1.9238,                 1.7459,               0.057374,              0.0043743,              0.0043743
                      8,                0.55176,                 0.8773,                0.38614,                0.91421,                0.73214,                0.47619,                0.56636,                0.31877,                0.75365,                0.48148,                0.56053,                0.31281,                 1.6534,                 2.6698,                 1.6577,                 1.6568,                0.05188,              0.0048802,              0.0048802
                      9,                0.55702,                0.89168,                0.38486,                0.90571,                0.69797,                0.47687,                0.53857,                0.30276,                0.69797,                0.47687,                0.53888,                0.29756,                 1.6395,                 2.7504,                  1.744,                 1.6807,               0.046374,              0.0053743,              0.0053743
